state,per_capita_income_2020,per_capita_income_2019,percentage_change_in_income,unemployment_010920,unemployment_010919,adult_gun_at_home_perc,health_insured_2019_any_coverage,health_insured_2019_uninsured,is_hispanic,not_hispanic,total_popn,percent_high_school_or_higher,percent_bachelors_or_higher,children_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_65plus,winner2016,party2016,candidatevotes2016,totalvotes2016,percentage_of_vote_2016,x2020_winner,percentage_of_vote_2020,donald_trump,joe_biden,other_candidates,tot_death,tot_cases,female,male,asian,black,mixed_race,native,native_hawaiian_pacific_islander,white,net_int_migration,party2020,college_votes_available
Maryland,69341,64501,NA,7.2,3.5,21,5589000,357000,643822,5401858,6045680,90,39.6,0.233,0.081,0.123,0.265,0.138,0.16,"Clinton, Hillary",democrat,1677928,2781446,NA,NA,NA,900082,1715498,47885,4172,148766,3116815,2928865,406303,1878645,177743,36840,6705,3539444,2.48496004,Democrat,10
Massachusetts,86779,74089,NA,9.6,2.8,10,6617000,204000,854907,6037596,6892503,90.4,42.9,0.209,0.087,0.132,0.26,0.141,0.171,"Clinton, Hillary",democrat,1995196,3378821,NA,NA,NA,1130839,2271554,79405,10017,167204,3546935,3345568,497517,621902,177199,34310,7410,5554165,4.127145586,Democrat,11
Michigan,55484,49062,NA,8.5,3.9,35,9308000,571000,528205,9458652,9986857,90.5,28.6,0.227,0.091,0.118,0.246,0.142,0.177,"Trump, Donald J.",republican,2279543,4799284,NA,NA,NA,2647004,2795649,88676,7761,207763,5068329,4918528,336384,1407890,252965,73865,4186,7911567,1.316513618,Democrat,16
Minnesota,64364,58524,NA,6,3.2,39,5308000,273000,315130,5324502,5639632,93,35.4,0.243,0.082,0.125,0.252,0.137,0.162,"Clinton, Hillary",democrat,1367705,2944782,NA,NA,NA,1485330,1718728,68403,2553,157096,2829821,2809811,292507,395556,145945,77479,4214,4723931,1.620682275,Democrat,10
Mississippi,43352,38647,NA,7.1,5.6,50,2528000,377000,100110,2876039,2976149,83.9,21.8,0.254,0.089,0.11,0.251,0.131,0.165,"Trump, Donald J.",republican,700714,1209357,NA,NA,NA,688745,452795,17822,3397,122275,1533857,1442292,33032,1124559,39966,18705,1806,1758081,0.479758086,Republican,6
Missouri,53036,48387,NA,4.9,3.3,48,5417000,604000,268708,5868720,6137428,89.6,28.6,0.236,0.085,0.121,0.246,0.139,0.172,"Trump, Donald J.",republican,1594511,2808605,NA,NA,NA,1711848,1242851,55617,3064,190424,3124766,3012662,133312,725579,146653,35839,9857,5086188,0.897785644,Republican,10
Montana,56030,49377,NA,5.3,3.5,64,967000,87000,43289,1025489,1068778,93.2,31.2,0.226,0.085,0.114,0.236,0.143,0.196,"Trump, Donald J.",republican,279240,494526,NA,NA,NA,341763,243714,17300,399,35159,530712,538066,9833,6389,30329,71096,920,950211,0.302426503,Republican,3
Nebraska,55810,53936,NA,3.5,3,39,1746000,158000,219645,1714763,1934408,91.1,31.3,0.26,0.088,0.122,0.24,0.129,0.162,"Trump, Donald J.",republican,495961,844227,NA,NA,NA,551499,368994,21987,660,74060,967959,966449,53187,100763,44695,29285,2349,1704129,1.707244156,Republican,5
Nevada,57987,51042,NA,12.6,3.7,36,2696000,348000,900600,2179556,3080156,86.3,24.2,0.235,0.083,0.131,0.262,0.126,0.163,"Clinton, Hillary",democrat,539260,1125385,NA,NA,NA,634701,671427,30279,1807,103025,1535329,1544827,268166,316303,141604,51946,24585,2277552,-0.317642399,Democrat,6
New Hampshire,67815,63375,NA,6,2.6,39,1259000,84000,54589,1305122,1359711,92.9,36.5,0.201,0.078,0.115,0.258,0.163,0.186,"Clinton, Hillary",democrat,348526,744296,NA,NA,NA,365660,424937,13856,483,11448,685918,673793,40300,24371,24157,4114,672,1266097,1.4352183569999999,Democrat,4
New Jersey,81429,70273,NA,6.7,3.6,8,8084000,692000,1856844,7025346,8882190,89.5,38.9,0.23,0.082,0.117,0.267,0.139,0.165,"Clinton, Hillary",democrat,2148278,3874046,NA,NA,NA,1609689,2258583,58275,16371,242825,4541603,4340587,886810,1337457,203450,55429,10240,6388804,2.395738683,Democrat,14
New Mexico,48194,43125,NA,9.4,4.8,39,1854000,205000,1032942,1063887,2096829,85.3,27.1,0.24,0.09,0.117,0.238,0.132,0.183,"Clinton, Hillary",democrat,385234,798319,NA,NA,NA,401197,499378,20355,1045,49240,1059397,1037432,37550,54772,54716,229794,3341,1716656,0.738023234,Democrat,5
New York,77014,71588,NA,9.7,3.9,14,18206000,1007000,3751058,15702503,19453561,86.5,35.9,0.217,0.086,0.134,0.257,0.136,0.169,"Clinton, Hillary",democrat,4379789,7802084,NA,NA,NA,2852042,3701835,93141,9290,248091,10005715,9447846,1753199,3421123,515681,189748,27034,13546776,2.347275974,Democrat,29
North Carolina,48153,47664,NA,7.3,3.7,35,9124000,1157000,1025830,9462254,10488084,87.4,30.5,0.235,0.086,0.118,0.26,0.133,0.169,"Trump, Donald J.",republican,2362631,4741564,NA,NA,NA,2734632,2659762,71453,4457,280377,5387820,5100264,334299,2330563,245008,165597,13130,7399487,1.359291286,Republican,15
North Dakota,57690,56470,NA,4.4,2.4,55,693000,51000,31532,730530,762062,92.5,29.5,0.245,0.102,0.137,0.232,0.128,0.156,"Trump, Donald J.",republican,216794,344360,NA,NA,NA,235479,114863,11314,568,48301,372030,390032,12860,25984,17583,42465,615,662555,1.251198901,Republican,3
Ohio,55340,49994,NA,8.4,4.1,36,10757000,758000,470462,11218638,11689100,90.1,27.8,0.234,0.085,0.119,0.248,0.14,0.174,"Trump, Donald J.",republican,2841005,5496487,NA,NA,NA,3074400,2603677,86510,5373,226138,5958538,5730562,291478,1525570,278251,34010,7055,9552736,0.817703377,Republican,18
Oklahoma,52469,47170,NA,5.3,3.3,51,3319000,553000,438110,3518861,3956971,87.8,25.2,0.256,0.091,0.123,0.242,0.127,0.16,"Trump, Donald J.",republican,949136,1452992,NA,NA,NA,1020280,503890,36529,1382,132966,1996313,1960658,94253,307819,247860,371104,8581,2927354,1.135591499,Republican,7
